         67120 function calls (62550 primitive calls) in 0.017 seconds

   Ordered by: cumulative time
   List reduced from 274 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.017    0.017 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_visualizations.py:315(create_bubble_chart)
        4    0.000    0.000    0.014    0.003 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:5104(update)
     14/8    0.000    0.000    0.007    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:3846(_perform_update)
        6    0.000    0.000    0.006    0.001 {built-in method builtins.next}
        6    0.000    0.000    0.006    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:3003(batch_update)
        3    0.000    0.000    0.006    0.002 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/contextlib.py:141(__exit__)
        3    0.000    0.000    0.006    0.002 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:2868(plotly_update)
      258    0.001    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:49(_str_to_dict_path_full)
     3344    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:1819(_str_to_dict_path)
  721/449    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4667(__getitem__)
        1    0.000    0.000    0.005    0.005 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/graph_objs/_figure.py:23773(update_xaxes)
        1    0.000    0.000    0.005    0.005 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/graph_objs/_figure.py:23915(update_yaxes)
        3    0.000    0.000    0.005    0.002 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:2942(_perform_plotly_update)
        3    0.000    0.000    0.005    0.002 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:2619(_perform_plotly_relayout)
  463/297    0.000    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4762(__contains__)
 1314/594    0.000    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4416(_props)
   131/89    0.000    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4805(__setitem__)
        1    0.000    0.000    0.004    0.004 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/graph_objs/_figure.py:766(update_layout)
        1    0.000    0.000    0.004    0.004 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:1367(update_layout)
  361/251    0.000    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4439(_get_child_props)


