         101550 function calls (95217 primitive calls) in 0.027 seconds

   Ordered by: cumulative time
   List reduced from 322 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.027    0.027 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_visualizations.py:43(create_dual_bar_chart)
        4    0.000    0.000    0.024    0.006 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:5104(update)
     18/8    0.000    0.000    0.015    0.002 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:3846(_perform_update)
        2    0.000    0.000    0.014    0.007 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/graph_objs/_figure.py:766(update_layout)
        2    0.000    0.000    0.014    0.007 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:1367(update_layout)
      435    0.002    0.000    0.011    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:49(_str_to_dict_path_full)
 1125/795    0.002    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4667(__getitem__)
        8    0.000    0.000    0.009    0.001 {built-in method builtins.next}
        4    0.000    0.000    0.009    0.002 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/contextlib.py:141(__exit__)
        8    0.000    0.000    0.009    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:3003(batch_update)
        4    0.000    0.000    0.009    0.002 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:2868(plotly_update)
        1    0.000    0.000    0.008    0.008 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/subplots.py:6(make_subplots)
        1    0.000    0.000    0.008    0.008 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/_subplots.py:42(make_subplots)
  237/235    0.000    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:157(_check_path_in_prop_tree)
     5203    0.001    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:1819(_str_to_dict_path)
  678/479    0.000    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4762(__contains__)
  549/447    0.000    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:5879(__contains__)
2951/1875    0.001    0.000    0.007    0.000 {built-in method _functools.reduce}
  764/746    0.000    0.000    0.006    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:5872(__getitem__)
        4    0.000    0.000    0.006    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:2942(_perform_plotly_update)


