         63558 function calls (59993 primitive calls) in 0.016 seconds

   Ordered by: cumulative time
   List reduced from 307 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.016    0.016 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_visualizations.py:197(create_impact_pyramid)
        4    0.000    0.000    0.011    0.003 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:5104(update)
        2    0.000    0.000    0.011    0.005 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/graph_objs/_figure.py:766(update_layout)
        2    0.000    0.000    0.011    0.005 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:1367(update_layout)
        1    0.000    0.000    0.009    0.009 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/subplots.py:6(make_subplots)
        1    0.000    0.000    0.009    0.009 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/_subplots.py:42(make_subplots)
     14/8    0.000    0.000    0.008    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:3846(_perform_update)
      258    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:49(_str_to_dict_path_full)
   133/68    0.000    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4805(__setitem__)
  612/500    0.001    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4667(__getitem__)
  168/166    0.000    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:157(_check_path_in_prop_tree)
  492/472    0.000    0.000    0.005    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:5872(__getitem__)
  277/249    0.000    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:5879(__contains__)
  321/273    0.000    0.000    0.004    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:4762(__contains__)
1691/1111    0.000    0.000    0.003    0.000 {built-in method _functools.reduce}
      107    0.000    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:5179(_set_prop)
     2953    0.000    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:1819(_str_to_dict_path)
      298    0.000    0.000    0.003    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/plotly/basedatatypes.py:91(_split_and_chomp)
        4    0.000    0.000    0.003    0.001 {built-in method builtins.next}
        2    0.000    0.000    0.003    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/contextlib.py:141(__exit__)


