         21113 function calls (20665 primitive calls) in 0.021 seconds

   Ordered by: cumulative time
   List reduced from 888 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.021    0.021 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:12(calculate_clinical_workload_attribution)
        1    0.000    0.000    0.009    0.009 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:6997(sort_values)
        1    0.003    0.003    0.009    0.009 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/sorting.py:301(lexsort_indexer)
        3    0.000    0.000    0.007    0.002 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/arrays/categorical.py:371(__init__)
        5    0.000    0.000    0.006    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/algorithms.py:610(factorize)
        1    0.000    0.000    0.006    0.006 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:69(_calculate_patient_intensity_profiles_vectorized)
        6    0.000    0.000    0.005    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/algorithms.py:1452(safe_sort)
       14    0.004    0.000    0.004    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      9/3    0.000    0.000    0.003    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/generic.py:232(aggregate)
        1    0.000    0.000    0.003    0.003 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/generic.py:331(_aggregate_multiple_funcs)
        8    0.000    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/internals/base.py:365(grouped_reduce)
        6    0.000    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:1957(_cython_agg_general)
        6    0.000    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/groupby.py:1971(array_func)
        6    0.000    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/ops.py:812(_cython_operation)
        6    0.000    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/ops.py:523(cython_operation)
        6    0.000    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/ops.py:310(_cython_op_ndim_compat)
        6    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/ops.py:354(_call_cython_op)
        5    0.002    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/algorithms.py:548(factorize_array)
        2    0.000    0.000    0.002    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:10813(merge)
       40    0.000    0.000    0.002    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:4062(__getitem__)


