         21514 function calls (20842 primitive calls) in 0.011 seconds

   Ordered by: cumulative time
   List reduced from 897 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:12(calculate_clinical_workload_attribution)
        1    0.000    0.000    0.004    0.004 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:69(_calculate_patient_intensity_profiles_vectorized)
        2    0.000    0.000    0.002    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:10813(merge)
        2    0.000    0.000    0.002    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/reshape/merge.py:135(merge)
        1    0.000    0.000    0.002    0.002 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:160(_calculate_visit_contributions_vectorized)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:6997(sort_values)
        3    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/arrays/categorical.py:371(__init__)
        2    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/reshape/merge.py:882(get_result)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/sorting.py:301(lexsort_indexer)
      9/3    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/generic.py:232(aggregate)
        5    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/algorithms.py:610(factorize)
        1    0.000    0.000    0.001    0.001 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:180(_calculate_workload_summary_stats_vectorized)
       40    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:4062(__getitem__)
        2    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/reshape/merge.py:825(_reindex_and_concat)
       11    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:4271(__setitem__)
       11    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:4514(_set_item)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/generic.py:331(_aggregate_multiple_funcs)
       38    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
4293/4209    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/generic.py:1420(aggregate)


