         21944 function calls (21383 primitive calls) in 0.009 seconds

   Ordered by: cumulative time
   List reduced from 1027 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:12(calculate_clinical_workload_attribution)
        1    0.000    0.000    0.003    0.003 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:69(_calculate_patient_intensity_profiles_vectorized)
        2    0.000    0.000    0.002    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:10813(merge)
        2    0.000    0.000    0.002    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/reshape/merge.py:135(merge)
        1    0.000    0.000    0.001    0.001 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:160(_calculate_visit_contributions_vectorized)
       40    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:4062(__getitem__)
        1    0.000    0.000    0.001    0.001 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer_optimized.py:180(_calculate_workload_summary_stats_vectorized)
       11    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:4271(__setitem__)
       11    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:4514(_set_item)
      9/3    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/generic.py:232(aggregate)
       10    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/internals/managers.py:1347(insert)
       11    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:4481(_set_item_mgr)
        2    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/reshape/merge.py:882(get_result)
       38    0.000    0.000    0.001    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/generic.py:1420(aggregate)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/apply.py:172(agg)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/apply.py:415(agg_dict_like)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/apply.py:1575(agg_or_apply_dict_like)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/groupby/generic.py:331(_aggregate_multiple_funcs)
        1    0.000    0.000    0.001    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:6997(sort_values)


