         555709 function calls (555359 primitive calls) in 0.132 seconds

   Ordered by: cumulative time
   List reduced from 864 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.132    0.132 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer.py:12(calculate_clinical_workload_attribution)
        1    0.000    0.000    0.097    0.097 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer.py:105(_categorize_treatment_intensity)
        1    0.000    0.000    0.097    0.097 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:10170(apply)
        1    0.000    0.000    0.097    0.097 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/apply.py:864(apply)
        1    0.000    0.000    0.097    0.097 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/apply.py:1061(apply_standard)
        1    0.004    0.004    0.096    0.096 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/apply.py:1070(apply_series_generator)
    10000    0.004    0.000    0.072    0.000 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer.py:108(categorize_patient)
    30018    0.017    0.000    0.064    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/series.py:1095(__getitem__)
    30018    0.011    0.000    0.028    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/series.py:1220(_get_value)
        1    0.000    0.000    0.018    0.018 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/frame.py:6997(sort_values)
        1    0.005    0.005    0.018    0.018 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/sorting.py:301(lexsort_indexer)
    10001    0.008    0.000    0.015    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/apply.py:1247(series_generator)
163183/163124    0.011    0.000    0.014    0.000 {built-in method builtins.isinstance}
    30044    0.007    0.000    0.014    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/indexing.py:2765(check_dict_or_set_indexers)
        6    0.000    0.000    0.013    0.002 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/algorithms.py:610(factorize)
        2    0.000    0.000    0.012    0.006 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/arrays/categorical.py:371(__init__)
    30041    0.008    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/indexes/base.py:3777(get_loc)
        7    0.000    0.000    0.010    0.001 /opt/homebrew/Caskroom/miniconda/base/lib/python3.12/site-packages/pandas/core/algorithms.py:1452(safe_sort)
       16    0.009    0.001    0.009    0.001 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.007    0.007 /Users/rose/Code/CC/ape/components/treatment_patterns/workload_analyzer.py:67(_calculate_patient_intensity_profiles)


